0.31	0.873	0.095	0.058	0
0.233	0.582	0.095	0.058	0
0.155	0.698	0.071	0.058	0
0.116	0.64	0.118	0.058	0
0.271	0.931	0.095	0.058	0
0.427	1.105	0.166	0.175	0
0.116	0.814	0.095	0.116	0
0.271	0.814	0.118	0.058	0
0.039	0.524	0.095	0.058	0
0.233	0.64	0.118	0	0
0.427	0.989	0.118	0.058	0
0.194	0.814	0.142	0.058	0
0.194	0.582	0.095	0	0
0	0.582	0.024	0	0
0.582	1.164	0.047	0.058	0
0.543	1.396	0.118	0.175	0
0.427	1.105	0.071	0.175	0
0.31	0.873	0.095	0.116	0
0.543	1.047	0.166	0.116	0
0.31	1.047	0.118	0.116	0
0.427	0.814	0.166	0.058	0
0.31	0.989	0.118	0.175	0
0.116	0.931	0	0.058	0
0.31	0.756	0.166	0.233	0
0.194	0.814	0.213	0.058	0
				
1.047	0.698	0.876	0.756	1
0.814	0.698	0.828	0.814	1
1.008	0.64	0.923	0.814	1
0.465	0.175	0.71	0.698	1
0.853	0.465	0.852	0.814	1
0.543	0.465	0.828	0.698	1
0.776	0.756	0.876	0.873	1
0.233	0.233	0.544	0.524	1
0.892	0.524	0.852	0.698	1
0.349	0.407	0.686	0.756	1
0.271	0	0.592	0.524	1
0.621	0.582	0.757	0.814	1
0.659	0.116	0.71	0.524	1
0.698	0.524	0.876	0.756	1
0.504	0.524	0.615	0.698	1
0.931	0.64	0.805	0.756	1
0.504	0.582	0.828	0.814	1
0.582	0.407	0.734	0.524	1
0.737	0.116	0.828	0.814	1
0.504	0.291	0.686	0.582	1
0.621	0.698	0.899	0.989	1
0.698	0.465	0.71	0.698	1
0.776	0.291	0.923	0.814	1
0.698	0.465	0.876	0.64	1
				
0.543	0.465	0.734	0.698	1
0.776	0.756	1.183	1.396	2
0.582	0.407	0.97	1.047	2
1.086	0.582	1.16	1.164	2
0.776	0.524	1.089	0.989	2
0.853	0.582	1.136	1.222	2
1.28	0.582	1.325	1.164	2
0.233	0.291	0.828	0.931	2
1.164	0.524	1.254	0.989	2
0.931	0.291	1.136	0.989	2
1.125	0.931	1.207	1.396	2
0.853	0.698	0.97	1.105	2
0.814	0.407	1.018	1.047	2
0.97	0.582	1.065	1.164	2
0.543	0.291	0.947	1.105	2
0.582	0.465	0.97	1.338	2
0.814	0.698	1.018	1.28	2
0.853	0.582	1.065	0.989	2
1.319	1.047	1.349	1.222	2
1.319	0.349	1.396	1.28	2
0.659	0.116	0.947	0.814	2
1.008	0.698	1.112	1.28	2
0.504	0.465	0.923	1.105	2
1.319	0.465	1.349	1.105	2
0.776	0.407	0.923	0.989	2
0.931	0.756	1.112	1.164	2
